date,updateDate,code1,code2,code3,value,source
2017-01-01,2022-01-19 12:00:00,shC,CA,PROD,160.0,S1
2017-01-01,2022-04-30 18:00:00,shC,CA,PROD,200.0,S1
2017-01-01,2022-01-19 12:00:00,shC,CA,PROD,160.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,6200.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,3700.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,38200.0,S1
2010-01-01,2010-01-01 00:00:00,shAAl,CT,PR,0.595,S1
2010-01-01,2010-01-01 00:00:00,shAAr,CT,PR,0.607,S1
2010-01-01,2010-01-01 00:00:00,shAGa,CT,PR,0.664,S1
2010-01-01,2010-01-01 00:00:00,shALa,CT,PR,0.603,S1
2010-01-01,2010-01-01 00:00:00,shAMs,CT,PR,0.624,S1
2010-01-01,2010-01-01 00:00:00,shATn,CT,PR,0.637,S1
2010-01-01,2010-01-01 00:00:00,shATx,CT,PR,0.591,S1
2010-01-01,2010-12-31 00:00:00,shAAl,CT,AP,340000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAl,CT,YLD,682.0,S1
2010-01-01,2010-12-31 00:00:00,shAAr,CT,AP,545000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAr,CT,YLD,1045.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,CT,AP,197500.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,CT,PR,0.855,S1
2010-01-01,2010-12-31 00:00:00,shACa,CT,AP,306000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,CT,PR,1.05,S1
2010-01-01,2010-12-31 00:00:00,shAFl,CT,AP,92000.0,S1
2010-01-01,2010-12-31 00:00:00,shAGa,CT,AP,1330000.0,S1
2010-01-01,2010-12-31 00:00:00,shAGa,CT,YLD,821.0,S1
2010-01-01,2010-12-31 00:00:00,shAKs,CT,AP,51000.0,S1
2010-01-01,2010-12-31 00:00:00,shAKs,CT,PR,1.04,S1
2010-01-01,2010-12-31 00:00:00,shALa,CT,AP,255000.0,S1
2010-01-01,2010-12-31 00:00:00,shALa,CT,YLD,842.0,S1
2010-01-01,2010-12-31 00:00:00,shAMo,CT,AP,310000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMo,CT,PR,0.686,S1
2010-01-01,2010-12-31 00:00:00,shAMo,CT,YLD,1068.0,S1
2010-01-01,2010-12-31 00:00:00,shAMs,CT,AP,420000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMs,CT,YLD,993.0,S1
2010-01-01,2010-12-31 00:00:00,shANc,CT,AP,550000.0,S1
2010-01-01,2010-12-31 00:00:00,shANm,CT,AP,50700.0,S1
2010-01-01,2010-12-31 00:00:00,shANm,CT,PR,1.0,S1
2010-01-01,2010-12-31 00:00:00,shASc,CT,AP,202000.0,S1
2010-01-01,2010-12-31 00:00:00,shASc,CT,PR,0.78,S1
2010-01-01,2010-12-31 00:00:00,shASc,CT,YLD,898.0,S1
2010-01-01,2010-12-31 00:00:00,shATn,CT,AP,390000.0,S1
2010-01-01,2010-12-31 00:00:00,shATx,CT,AP,5567000.0,S1
2010-01-01,2010-12-31 00:00:00,shATx,CT,YLD,704.0,S1
2010-01-01,2010-12-31 00:00:00,shAVa,CT,AP,83000.0,S1
2010-01-01,2010-12-31 00:00:00,shAVa,CT,YLD,732.0,S1
2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,20.7,S1
2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,20.0,S1
2010-01-01,2010-12-31 00:00:00,shAAr,S/1,AP,127100.0,S1
2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,28.8,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,YLD,81.8,S1
2010-01-01,2010-12-31 00:00:00,shANe,W/WIN,YLD,42.9,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AH,28600.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AP,34500.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AH,37800.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,395000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,128000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,1300.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,1300.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,98.5,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,784000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,7100.0,S1
2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,1800.0,S1
2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,1800.0,S1
2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,YLD,32.1,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,7400.0,S1
2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,2700.0,S1
